Ns changes	Ns	time/s	voltage_measured	I/mA	(Q-Qo)/mA.h	Energy charge/W.h	Energy discharge/W.h	step time/s	Q discharge/mA.h	Q charge/mA.h	Capacity/mA.h	cycle number	P/W	R/Ohm	Temperature/ï¿½C	Unnamed: 16	operator_notes
0	1	91.72400435665622	3.4913549	-899.86578	-20.42306631096734	0.0	0.07142585702596028	91.72400435665622	20.42306631096736	0.0	20.42306631096736	0.0	-3.1417508	3.8798618	22.721876		
0	1	91.82400436140595	3.4913549	-899.82635	-20.44806300960965	0.0	0.07151313040445964	91.82400436140595	20.44806300960967	0.0	20.44806300960967	0.0	-3.1416132	3.8800318	22.76129		
0	1	91.92400436615571	3.4913156	-899.72791	-20.47305912845188	0.0	0.07160040128526475	91.92400436615571	20.4730591284519	0.0	20.4730591284519	0.0	-3.1412342	3.8804128	22.564228		
0	1	92.02400437090546	3.4912763	-899.8067	-20.49805572882758	0.0	0.07168767335462782	92.02400437090546	20.49805572882761	0.0	20.49805572882761	0.0	-3.1414738	3.8800292	22.627287		
0	1	92.1240043756552	3.4913549	-899.8855	-20.5230523836263	0.0	0.07177494561360677	92.1240043756552	20.52305238362633	0.0	20.52305238362633	0.0	-3.1418197	3.879777	22.5327		
0	1	92.22400438040496	3.4913549	-899.86578	-20.54804839287652	0.0	0.07186221556003147	92.22400438040496	20.54804839287655	0.0	20.54804839287655	0.0	-3.1417508	3.8798618	22.73764		
0	1	92.32400438515468	3.4912763	-899.86578	-20.57304493828667	0.0	0.0719494871617296	92.32400438515468	20.5730449382867	0.0	20.5730449382867	0.0	-3.14168	3.8797743	22.658817		
0	1	92.42400438990444	3.4913156	-899.86578	-20.59804166995578	0.0	0.07203675892089843	92.42400438990444	20.59804166995581	0.0	20.59804166995581	0.0	-3.1417155	3.8798182	22.63517		
0	1	92.52400439465418	3.4913549	-899.92493	-20.62303819356282	0.0	0.07212402952067057	92.52400439465418	20.62303819356286	0.0	20.62303819356286	0.0	-3.1419573	3.879607	22.658817		
0	1	92.62400439940392	3.4911582	-899.92493	-20.64803487070719	0.0	0.07221130020453559	92.62400439940392	20.64803487070722	0.0	20.64803487070722	0.0	-3.1417804	3.8793883	22.698229		
0	1	92.72400440415367	3.4912763	-899.8855	-20.67303106601291	0.0	0.07229856883138021	92.72400440415367	20.67303106601294	0.0	20.67303106601294	0.0	-3.1417489	3.8796895	22.729759		
0	1	92.82400440890342	3.4911582	-899.84613	-20.69802751322428	0.0	0.07238583810221354	92.82400440890342	20.69802751322431	0.0	20.69802751322431	0.0	-3.1415052	3.8797281	22.540581		
0	1	92.92400441365317	3.4912763	-899.90515	-20.72302425571018	0.0	0.0724731083448622	92.92400441365317	20.72302425571021	0.0	20.72302425571021	0.0	-3.1418176	3.8796048	22.887407		
0	1	93.02400441840292	3.4911976	-899.86578	-20.74802072455512	0.0	0.07256037704128689	93.02400441840292	20.74802072455515	0.0	20.74802072455515	0.0	-3.1416092	3.8796871	22.469639		
0	1	93.12400442315266	3.4911976	-899.8855	-20.77301718268501	0.0	0.07264764554334853	93.12400442315266	20.77301718268503	0.0	20.77301718268503	0.0	-3.1416781	3.879602	22.627287		
0	1	93.2240044279024	3.4911582	-899.78699	-20.79801364057753	0.0	0.07273491386745877	93.2240044279024	20.79801364057756	0.0	20.79801364057756	0.0	-3.1412988	3.8799829	22.595758		
0	1	93.32400443265216	3491.1976		-20.82300987976074	0.0	0.07282218115234375	93.32400443265216	20.82300987976077	0.0	20.82300987976077	0.0	-3.1418157	3.879432	22.540581		
0	1	93.42400443740188	3.4911976	-899.8855	-20.84800618452284	0.0	0.07290944823337131	93.42400443740188	20.84800618452287	0.0	20.84800618452287	0.0	-3.1416781	3.879602	22.493286		
0	1	93.52400444215164	3.4911976	-899.8855	-20.87300233625624	0.0	0.07299671434665256	93.52400444215164	20.87300233625627	0.0	20.87300233625627	0.0	-3.1416781	3.879602	22.769171		
0	1	93.62400444690138	3.4911976	-899.76733	-20.89799841135661	0.0	0.07308397997599284	93.62400444690138	20.89799841135664	0.0	20.89799841135664	0.0	-3.1412656	3.8801115	22.698229		
0	1	93.72400445165113	3.4911976	-899.8855	-20.92299462863498	0.0	0.07317124604248047	93.72400445165113	20.92299462863501	0.0	20.92299462863501	0.0	-3.1416781	3.879602	22.398697		
0	1	93.82400445640089	3.4911582	-899.90515	-20.94799127258301	0.0	0.07325851340182835	93.82400445640089	20.94799127258304	0.0	20.94799127258304	0.0	-3.1417112	3.8794734	22.745523		
0	1	93.92400446115062	3491.1976	-899.84613	-20.97298827799479	0.0	0.0733457814320204	93.92400446115062	20.97298827799482	0.0	20.97298827799482	0.0	-3.1415405	3.8797717	22.706112		
0	1	94.02400446590036	3.4911582	-899.92493	-20.9979846923489	0.0	0.07343304704386393	94.02400446590036	20.99798469234893	0.0	20.99798469234893	0.0	-3.1417804	3.8793883	22.453875		
